scan_id,parcel_id,customer_id,scanned_at,hub_id,courier_id,scan_type,weight_kg,service_code
903149,7000958,5083,2026-05-03 10:43:05,1,104,FAILED,29.62,STD
902512,7000762,5082,2026-05-03 08:34:01,6,139,DELIVERED,28.77,EXP
902557,7000777,5096,2026-05-03 08:48:55,9,130,OUT_FOR_DELIVERY,41.01,SDD
902818,7000857,5059,2026-05-03 10:41:22,8,106,PICKUP,24.48,SDD
903325,7001016,5065,2026-05-03 12:05:17,7,109,FAILED,18.22,STD
902735,7000830,5078,2026-05-03 07:56:36,4,140,DEPART,11.06,SDD
902504,7000759,5129,2026-05-03 07:41:49,10,109,DEPART,42.04,STD
903229,7000982,5152,2026-05-03 12:26:57,8,114,PICKUP,43.72,ECO
902668,7000812,5093,2026-05-03 17:01:37,6,109,FAILED,30.87,EXP
902578,7000780,5009,2026-05-03 21:44:46,9,133,ARRIVE,19.82,STD
903512,7001072,5114,2026-05-03 06:11:20,4,133,FAILED,26.76,STD
902900,7000876,5180,2026-05-03 20:13:06,5,113,DEPART,15.82,ECO
903262,7000995,5014,2026-05-03 16:44:01,9,139,FAILED,7.23,SDD
903065,7000928,5134,2026-05-03 06:41:24,8,114,PICKUP,20.67,SDD
902651,7000805,5041,2026-05-03 19:06:12,2,,FAILED,2.9,ECO
903126,7000948,5015,2026-05-03 15:16:41,8,124,DELIVERED,26.67,SDD
903354,7001024,5062,2026-05-03 11:49:18,10,116,PICKUP,2.5,EXP
902958,7000897,5134,2026-05-03 15:17:26,5,130,DEPART,15.81,ECO
902399,7000733,5141,2026-05-03 14:36:56,7,112,DELIVERED,5.44,ECO
903119,7000944,5086,2026-05-03 20:33:13,8,115,ARRIVE,8.78,ECO
903533,7001076,5017,2026-05-03 19:39:31,4,101,FAILED,11.88,EXP
902901,7000876,5012,2026-05-03 20:26:32,1,110,DELIVERED,25.02,SDD
902702,7000822,5065,2026-05-03 20:11:35,1,114,DELIVERED,12.65,ECO
903356,7001026,5171,2026-05-03 12:34:59,4,127,DEPART,"29,98",ECO
902898,7000876,5102,2026-05-03 19:00:05,7,105,ARRIVE,2.89,SDD
902793,7000846,5044,2026-05-03 17:56:56,3,133,ARRIVE,37.11,ECO
903106,7000938,5119,2026-05-03 17:37:33,1,124,PICKUP,29.25,ECO
902418,7000737,5091,2026-05-03 16:04:33,6,122,FAILED,553.97,EXP
903091,7000935,5117,2026-05-03 21:01:22,10,109,ARRIVE,29.04,EXP
902635,7000800,5090,2026-05-03 21:25:11,9,110,OUT_FOR_DELIVERY,1.71,STD
902809,7000853,5074,2026-05-03 10:17:18,9,138,PICKUP,14.79,SDD
902641,7000801,5178,2026-05-03 12:10:21,2,114,PICKUP,37.82,STD
903044,7000922,5083,2026-05-03 19:27:52,6,127,DEPART,45.88,EXP
902791,7000846,5080,2026-05-03 07:39:16,10,109,FAILED,43.62,SDD
903454,7001054,5158,2026-05-03 13:02:42,7,107,DEPART,44.1,EXP
903047,7000922,5059,2026-05-03 17:31:34,7,135,FAILED,28.95,ECO
903019,7000914,5166,2026-05-03 17:07:46,7,108,DEPART,25.89,SDD
903388,7001034,5017,2026-05-03 15:49:01,3,120,delivered,17.11,STD
902847,7000863,5020,2026-05-03 12:09:46,10,122,DEPART,35.25,SDD
903365,7001028,5055,2026-05-03 08:32:40,3,104,DEPART,0.56,SDD
902979,7000903,5061,2026-05-03 06:55:43,7,134,OUT_FOR_DELIVERY,31.1,SDD
902835,7000862,5082,2026-05-03 09:53:39,7,104,FAILED,17.1,ECO
902930,7000887,5074,2026-05-03 16:42:31,1,125,FAILED,"20,34",STD
902395,7000733,5001,03/05/2026 07:03,8,,FAILED,10.62,EXP
903145,7000955,5171,2026-05-03 06:05:00,2,121,DEPART,12.18,SDD
902386,7000731,5086,2026-05-03 11:58:58,3,108,ARRIVE,22.87,ECO
903410,7001042,5051,2026-05-03 06:01:27,4,115,DELIVERED,26.78,SDD
902895,7000874,5185,2026-05-03 19:52:16,4,123,PICKUP,46.01,SDD
903377,7001030,5011,2026-05-03 14:38:10,1,113,DELIVERED,37.01,ECO
903317,7001011,5070,2026-05-03 13:58:40,2,127,FAILED,29.54,EXP
902431,7000740,5167,2026-05-03 12:26:55,10,101,OUT_FOR_DELIVERY,26.43,SDD
903420,7001045,5048,2026-05-03 20:26:24,6,130,DELIVERED,21.57,SDD
903202,7000973,5149,2026-05-03 06:53:00,6,110,PICKUP,46.07,ECO
902822,7000859,5104,2026-05-03 07:14:37,9,116,DELIVERED,37.56,EXP
903168,7000964,5179,2026-05-03 07:33:45,10,140,PICKUP,8.09,STD
902975,7000902,5197,2026-05-03 13:25:39,4,110,DEPART,3.92,EXP
902744,7000832,5092,2026-05-03 15:18:31,1,116,OUT_FOR_DELIVERY,18.89,EXP
903174,7000966,5129,2026-05-03 21:29:35,1,103,PICKUP,21.21,EXP
903267,7000996,5113,2026-05-03 12:45:05,10,103,DELIVERED,42.18,ECO
902522,7000765,5153,2026-05-03 12:37:45,9,119,ARRIVE,"32,77",EXP
903291,7001005,5024,2026-05-03 06:27:44,2,105,OUT_FOR_DELIVERY,45.01,ECO
903327,7001018,5013,2026-05-03 21:27:11,3,138,ARRIVE,17.38,STD
902586,7000783,5072,2026-05-03 06:23:57,10,105,ARRIVE,,SDD
902627,7000797,5169,2026-05-03 20:29:21,10,106,ARRIVE,29.21,STD
903102,7000937,5042,2026-05-03 07:02:16,8,138,DELIVERED,20.92,STD
902866,7000867,5108,2026-05-03 06:30:37,3,140,PICKUP,30.14,STD
903510,7001072,5141,2026-05-03 14:55:03,6,137,PICKUP,4.12,ECO
902838,7000863,5104,2026-05-03 14:56:48,9,114,OUT_FOR_DELIVERY,14.75,ECO
902394,7000733,5086,2026-05-03 13:55:35,9,133,FAILED,"31,31",ECO
902746,7000832,5092,2026-05-03 19:54:19,9,124,FAILED,39.81,EXP
902949,7000894,5015,2026-05-03 08:39:40,5,122,DELIVERED,1.66,SDD
902398,7000733,5047,2026-05-03 13:12:09,7,137,DEPART,0.35,SDD
903422,7001046,5176,2026-05-03 13:27:31,1,113,OUT_FOR_DELIVERY,25.18,ECO
902832,7000861,5076,2026-05-03 09:21:24,3,134,PICKUP,11.37,SDD
903029,7000918,5093,2026-05-03 08:28:32,9,128,DELIVERED,34.01,ECO
903297,7001007,5041,2026-05-03 13:08:17,3,,OUT_FOR_DELIVERY,28.96,STD
902679,7000813,5145,2026-05-03 20:39:56,3,102,FAILED,24.62,SDD
903021,7000914,5094,2026-05-03 13:11:48,9,103,DEPART,38.97,STD
903144,7000955,5060,2026-05-03 21:39:16,2,114,DELIVERED,21.05,EXP
903046,7000922,5156,2026-05-03 11:07:18,3,130,ARRIVE,42.07,EXP
902406,7000735,5063,2026-05-03 20:00:05,2,109,DELIVERED,8.97,SDD
903219,7000978,5094,2026-05-03 14:00:59,8,121,OUT_FOR_DELIVERY,26.76,ECO
902845,7000863,5130,2026-05-03 08:48:45,2,131,ARRIVE,13.0,ECO
902675,7000812,5027,2026-05-03 16:19:51,3,115,PICKUP,24.17,ECO
902405,7000734,5014,2026-05-03 14:23:30,5,137,ARRIVE,45.59,ECO
903463,7001056,5079,2026-05-03 10:45:06,8,113,DEPART,6.51,ECO
902952,7000894,5086,2026-05-03 07:54:04,9,111,PICKUP,23.55,EXP
902706,7000823,5122,2026-05-03 20:59:55,1,132,DEPART,36.92,STD
903033,7000919,5136,03/05/2026 20:28,5,,OUT_FOR_DELIVERY,40.58,ECO
902667,7000811,5082,2026-05-03 14:22:22,7,119,DELIVERED,40.49,STD
903056,7000925,5099,2026-05-03 13:48:27,1,123,PICKUP,19.81,STD
903294,7001006,5004,2026-05-03 09:19:57,6,125,OUT_FOR_DELIVERY,27.58,ECO
902836,7000863,5161,2026-05-03 20:25:17,5,126,ARRIVE,42.86,EXP
903433,7001049,5069,2026-05-03 14:20:50,4,114,OUT_FOR_DELIVERY,,ECO
902843,7000863,5165,2026-05-03 14:35:19,6,119,DELIVERED,29.78,EXP
902478,7000749,5166,2026-05-03 21:11:37,4,111,failed,14.3,EXP
902761,7000836,5097,2026-05-03 12:31:26,9,106,FAILED,31.41,ECO
902513,7000763,5101,2026-05-03 11:57:33,10,107,FAILED,26.67,SDD
902800,7000848,5104,2026-05-03 19:12:39,9,114,OUT_FOR_DELIVERY,43.38,ECO
902908,7000877,5102,2026-05-03 19:46:54,7,132,FAILED,45.29,ECO
902710,7000824,5104,2026-05-03 14:54:21,10,131,ARRIVE,45.44,SDD
902610,7000790,5043,2026-05-03 13:58:47,5,102,DELIVERED,44.29,SDD
903022,7000915,5023,2026-05-03 09:10:44,1,140,OUT_FOR_DELIVERY,2.08,SDD
903146,7000955,5009,2026-05-03 16:32:52,10,125,DEPART,18.2,STD
902749,7000832,5047,2026-05-03 21:06:01,2,137,PICKUP,3.05,STD
903499,7001069,5121,2026-05-03 19:28:15,7,120,DEPART,6.68,ECO
902575,7000780,5079,2026-05-03 06:19:24,8,134,ARRIVE,5.63,EXP
903141,7000954,5022,2026-05-03 17:18:43,1,110,OUT_FOR_DELIVERY,3.84,SDD
902762,7000836,5051,2026-05-03 21:27:56,4,118,OUT_FOR_DELIVERY,36.54,EXP
903393,7001037,5117,2026-05-03 09:39:14,1,130,ARRIVE,17.21,SDD
903031,7000919,5109,2026-05-03 07:04:16,7,123,ARRIVE,26.35,ECO
903423,7001046,5071,2026-05-03 16:30:19,2,125,ARRIVE,20.48,SDD
902886,7000873,5195,03/05/2026 09:52,1,120,DELIVERED,29.48,EXP
902717,7000826,5196,2026-05-03 16:32:22,6,106,FAILED,47.85,EXP
902937,7000889,5198,2026-05-03 21:01:22,2,112,PICKUP,14.13,SDD
902500,7000757,5005,2026-05-03 13:07:02,10,113,DEPART,17.34,ECO
903479,7001061,5138,2026-05-03 15:49:23,6,134,FAILED,30.2,EXP
902591,7000784,5198,2026-05-03 21:59:43,1,118,PICKUP,27.41,SDD
902567,7000778,5152,2026-05-03 10:13:52,9,120,DELIVERED,37.03,EXP
903103,7000937,5177,2026-05-03 14:51:16,5,122,FAILED,14.26,SDD
903115,7000942,5177,2026-05-03 11:13:03,9,134,PICKUP,29.17,ECO
902553,7000775,5127,2026-05-03 10:47:37,10,121,DEPART,27.69,SDD
902987,7000904,5189,2026-05-03 13:16:46,5,104,PICKUP,40.12,STD
902846,7000863,5016,2026-05-03 13:41:35,6,110,OUT_FOR_DELIVERY,25.86,SDD
902402,7000734,5009,2026-05-03 10:25:36,3,108,DELIVERED,37.99,EXP
902613,7000791,5165,2026-05-03 10:54:48,6,101,DELIVERED,12.91,ECO
902825,7000860,5163,2026-05-03 18:41:51,9,132,DEPART,20.15,ECO
903012,7000912,5020,2026-05-03 11:55:34,6,140,ARRIVE,29.89,EXP
902724,7000827,5156,2026-05-03 12:17:56,9,120,PICKUP,5.17,SDD
903447,7001053,5177,2026-05-03 07:06:08,10,115,FAILED,,EXP
902611,7000790,5186,2026-05-03 10:21:50,1,133,FAILED,13.47,STD
903068,7000928,5163,2026-05-03 07:31:08,5,115,OUT_FOR_DELIVERY,"17,85",ECO
902859,7000864,5065,2026-05-03 12:47:15,6,129,DELIVERED,"26,13",STD
902970,7000900,5034,2026-05-03 14:45:52,3,111,DELIVERED,"14,41",ECO
903443,7001052,5027,2026-05-03 06:22:54,3,114,FAILED,14.1,EXP
902681,7000813,5171,2026-05-03 19:43:01,1,134,FAILED,21.72,ECO
902848,7000864,5160,2026-05-03 08:48:14,9,119,ARRIVE,39.27,ECO
902755,7000835,5156,2026-05-03 12:42:26,7,129,PICKUP,14.15,SDD
902672,7000812,5152,2026-05-03 09:32:09,7,126,PICKUP,2.15,STD
902385,7000730,5117,2026-05-03 09:19:49,9,106,ARRIVE,32.62,SDD
