scan_id,parcel_id,customer_id,scanned_at,hub_id,courier_id,scan_type,weight,service_code
919654,7005913,5016,2026-05-19 13:07:40,9,106,PICKUP,15.0,SDD
920182,7006082,5165,2026-05-19 08:25:33,4,103,OUT_FOR_DELIVERY,20.51,STD
920294,7006125,5068,2026-05-19 18:00:10,5,139,DELIVERED,27.64,ECO
919889,7005980,5184,2026-05-19 16:02:35,1,129,OUT_FOR_DELIVERY,8.99,EXP
919614,7005902,5001,2026-05-19 18:01:40,5,126,PICKUP,27.17,SDD
919267,7005792,5008,2026-05-19 18:39:42,5,134,PICKUP,38.66,SDD
919900,7005983,5076,2026-05-19 16:41:26,9,124,DELIVERED,"42,69",SDD
919894,7005981,5143,2026-05-19 14:39:04,1,123,PICKUP,39.72,EXP
919419,7005836,5189,2026-05-19 13:22:58,4,136,DEPART,22.8,ECO
919632,7005907,5108,19/05/2026 11:59,1,119,OUT_FOR_DELIVERY,39.77,ECO
919667,7005918,5171,2026-05-19 13:04:42,3,105,ARRIVE,17.87,EXP
919270,7005792,5041,2026-05-19 12:50:14,9,132,OUT_FOR_DELIVERY,44.33,ECO
920273,7006116,5038,2026-05-19 16:39:34,5,135,DELIVERED,21.97,ECO
919803,7005953,5164,2026-05-19 08:23:25,7,126,PICKUP,39.84,SDD
919369,7005821,5012,2026-05-19 10:45:06,8,110,PICKUP,9.79,STD
920187,7006084,5146,2026-05-19 15:34:52,1,107,DEPART,23.97,ECO
919422,7005837,5093,2026-05-19 14:23:30,1,105,ARRIVE,47.34,STD
919275,7005794,5141,2026-05-19 18:06:33,8,139,OUT_FOR_DELIVERY,44.29,ECO
919332,7005806,5142,19/05/2026 07:28,5,107,delivered,2.56,EXP
919746,7005947,5048,2026-05-19 06:50:40,3,122,FAILED,"40,51",SDD
920315,7006132,5100,2026-05-19 20:31:00,1,110,PICKUP,9.89,STD
919437,7005844,5156,2026-05-19 17:40:48,2,109,FAILED,4.09,STD
919490,7005862,5074,2026-05-19 14:22:46,8,134,PICKUP,36.79,EXP
920019,7006029,5073,2026-05-19 19:55:44,7,124,ARRIVE,19.7,ECO
919508,7005866,5048,2026-05-19 21:23:34,1,126,FAILED,41.2,STD
919523,7005871,5135,2026-05-19 10:41:14,2,114,PICKUP,33.67,STD
919823,7005957,5011,2026-05-19 10:41:51,1,105,ARRIVE,18.73,ECO
919697,7005934,5077,2026-05-19 06:08:10,2,112,PICKUP,0.83,ECO
919594,7005895,5118,2026-05-19 11:48:38,1,128,DELIVERED,353.95,STD
920174,7006080,5163,2026-05-19 06:14:29,9,116,DELIVERED,28.28,STD
919353,7005814,5141,2026-05-19 06:55:15,2,137,DEPART,4.56,SDD
