scan_id,parcel_id,customer_id,scanned_at,hub_id,courier_id,scan_type,weight_kg,service_code
922665,7006870,5177,2025-06-01 20:09:19,6,110,ARRIVE,5.88,SDD
922666,7006870,5035,2025-06-01 19:51:28,3,122,DEPART,20.22,STD
922667,7006871,5002,2025-06-01 13:08:22,6,109,DEPART,26.48,ECO
922668,7006872,5187,2025-06-01 18:28:29,3,126,FAILED,1.17,SDD
922669,7006873,5027,2025-06-01 09:38:40,8,123,DEPART,38.54,STD
922670,7006873,5083,2025-06-01 14:55:36,10,101,OUT_FOR_DELIVERY,34.25,ECO
922671,7006874,5094,2025-06-01 14:44:46,9,110,ARRIVE,45.02,STD
922672,7006874,5191,2025-06-01 19:37:44,9,137,DEPART,5.76,EXP
922673,7006874,5180,2025-06-01 17:31:19,5,124,OUT_FOR_DELIVERY,19.86,ECO
922674,7006875,5064,2025-06-01 14:31:57,2,117,OUT_FOR_DELIVERY,15.84,ECO
922675,7006875,5182,2025-06-01 13:51:37,8,124,ARRIVE,33.11,SDD
922676,7006875,5110,2025-06-01 21:50:40,2,103,OUT_FOR_DELIVERY,9.65,ECO
922677,7006875,5142,2025-06-01 07:26:11,8,109,FAILED,14.19,STD
922678,7006875,5200,2025-06-01 08:36:35,4,140,DEPART,24.35,STD
922679,7006876,5058,2025-06-01 06:52:39,1,124,DEPART,8.46,ECO
922680,7006876,5156,2025-06-01 11:08:34,3,112,ARRIVE,39.19,ECO
922681,7006876,5096,2025-06-01 13:26:17,10,110,OUT_FOR_DELIVERY,42.25,STD
922682,7006876,5060,2025-06-01 15:53:18,6,135,DEPART,46.19,STD
922683,7006876,5011,2025-06-01 20:24:40,9,122,FAILED,39.39,SDD
922684,7006876,5165,2025-06-01 19:16:06,1,121,FAILED,19.86,EXP
922685,7006876,5076,2025-06-01 20:43:06,9,103,OUT_FOR_DELIVERY,40.31,SDD
922686,7006876,5012,2025-06-01 12:35:25,3,124,DEPART,21.24,STD
922687,7006877,5044,2025-06-01 08:09:54,10,138,ARRIVE,6.75,STD
922688,7006877,5103,2025-06-01 09:13:08,8,140,PICKUP,1.05,SDD
922689,7006877,5177,2025-06-01 12:25:10,3,135,OUT_FOR_DELIVERY,33.52,EXP
922690,7006877,5035,2025-06-01 13:53:53,6,132,FAILED,29.73,ECO
922691,7006877,5153,2025-06-01 18:17:22,3,140,DELIVERED,34.06,EXP
922692,7006877,5082,2025-06-01 06:07:14,6,140,PICKUP,28.66,ECO
922693,7006877,5120,2025-06-01 15:29:37,5,113,PICKUP,38.43,SDD
922694,7006877,5192,2025-06-01 13:50:26,10,123,OUT_FOR_DELIVERY,7.02,ECO
922695,7006877,5192,2025-06-01 20:41:20,10,120,OUT_FOR_DELIVERY,24.63,STD
922696,7006878,5160,2025-06-01 20:41:04,9,117,PICKUP,12.51,ECO
922697,7006878,5058,2025-06-01 14:58:47,9,123,ARRIVE,26.84,EXP
922698,7006878,5169,2025-06-01 07:13:41,3,123,DELIVERED,6.87,SDD
922699,7006878,5118,2025-06-01 17:23:23,6,107,DEPART,6.78,EXP
922700,7006878,5002,2025-06-01 10:26:16,8,105,ARRIVE,0.97,STD
922701,7006878,5107,2025-06-01 13:02:48,9,136,FAILED,31.28,SDD
922702,7006878,5071,2025-06-01 18:01:56,4,133,OUT_FOR_DELIVERY,18.91,SDD
922703,7006878,5178,2025-06-01 16:47:03,3,129,PICKUP,33.53,SDD
922704,7006878,5169,2025-06-01 18:02:37,2,130,ARRIVE,3.64,ECO
922705,7006878,5107,2025-06-01 14:10:45,9,128,DELIVERED,14.9,STD
922706,7006878,5132,2025-06-01 12:46:43,3,102,OUT_FOR_DELIVERY,28.18,EXP
922707,7006879,5013,2025-06-01 10:55:42,4,136,DEPART,21.21,SDD
922708,7006879,5141,2025-06-01 10:31:49,8,106,DELIVERED,9.07,ECO
