scan_id,parcel_id,customer_id,scanned_at,hub_id,courier_id,scan_type,weight_kg,service_code,service_level_id,reject_reason
903642,7001100,5039,2026-05-04 21:05:53,99,109,failed,43.36,EXP,,unknown hub
904267,7001281,5170,2026-05-04 13:22:39,99,114,out_for_delivery,4.38,ECO,,unknown hub
903791,7001145,5067,2026-05-04 15:34:26,7,124,failed,,SDD,,bad weight
904636,7001382,5042,2026-05-04 16:02:23,99,135,pickup,10.05,EXP,,unknown hub
904603,7001377,5132,2026-05-04 20:54:05,99,124,delivered,17.92,SDD,,unknown hub
903901,7001179,5066,2026-05-04 11:07:24,8,111,delivered,500.95,EXP,,bad weight
904169,7001246,5152,2026-05-04 06:21:27,6,135,pickup,881.39,SDD,,bad weight
904508,7001352,5060,2026-05-04 07:34:49,6,128,delivered,,STD,,bad weight
904407,7001322,5004,2026-05-04 14:14:22,99,101,pickup,33.14,ECO,,unknown hub
904311,7001297,5109,2026-05-04 11:30:39,99,101,arrive,37.99,STD,,unknown hub
903980,7001206,5156,2026-05-04 12:01:37,1,129,arrive,,STD,,bad weight
904211,7001260,5176,2026-05-04 10:34:54,10,138,failed,819.94,STD,,bad weight
903673,7001112,5167,2026-05-04 16:03:39,9,129,delivered,758.05,EXP,,bad weight
904774,7001423,5019,2026-05-04 08:27:23,1,131,out_for_delivery,,EXP,,bad weight
904722,7001402,5137,2026-05-04 13:05:58,9,106,failed,,EXP,,bad weight
904389,7001316,5048,2026-05-04 16:24:07,6,118,pickup,796.78,SDD,,bad weight
903706,7001125,5128,2026-05-04 13:52:01,1,107,arrive,,ECO,,bad weight
904453,7001336,5043,2026-05-04 18:07:32,1,107,delivered,,SDD,,bad weight
904408,7001322,5183,2026-05-04 16:44:06,99,114,delivered,22.24,STD,,unknown hub
904696,7001396,5016,2026-05-04 16:21:04,10,101,depart,725.22,SDD,,bad weight
904097,7001229,5200,2026-05-04 08:42:21,99,131,out_for_delivery,44.52,EXP,,unknown hub
903780,7001142,5023,2026-05-04 06:52:19,7,110,pickup,,EXP,,bad weight
903683,7001116,5043,2026-05-04 20:39:41,3,136,delivered,,ECO,,bad weight
904352,7001305,5037,2026-05-04 09:35:12,5,120,depart,833.76,ECO,,bad weight
904468,7001343,5101,2026-05-04 20:52:21,8,130,out_for_delivery,529.61,ECO,,bad weight
